domain,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
gt.com,16,0,4,1,1,0,0,2,4,2,2,0,0,0,0,0
pathwaysimmigration.com,16,1,0,1,4,7,0,1,1,1,0,0,0,0,0,0
sa](https,16,0,2,2,5,6,0,1,0,0,0,0,0,0,0,0
standardbank.co.za,16,9,4,1,1,0,0,0,1,0,0,0,0,0,0,0
taxdebtassist.co.za,16,1,6,6,1,1,0,1,0,0,0,0,0,0,0,0
visaandimmigration.co.za,16,10,1,3,0,0,0,0,2,0,0,0,0,0,0,0
visaone.co.za,16,0,1,4,5,4,0,1,0,1,0,0,0,0,0,0
global](https,15,11,1,0,0,1,0,0,2,0,0,0,0,0,0,0
immigration-sa.com,15,1,0,1,5,3,2,1,1,1,0,0,0,0,0,0
liberty.co.za,15,0,2,5,4,0,2,1,1,0,0,0,0,0,0,0
migrate2sa.com,15,0,0,0,2,1,3,1,4,2,2,0,0,0,0,0
momentum.co.za,15,0,0,1,3,4,3,1,1,1,1,0,0,0,0,0
nedbank.co.za,15,0,0,4,9,1,0,0,0,1,0,0,0,0,0,0
pathways.co.za,15,0,0,0,0,2,3,2,1,2,5,0,0,0,0,0
pathwayvisas.com,15,0,0,0,0,4,1,1,1,4,4,0,0,0,0,0
visalink.co.za,15,3,8,3,1,0,0,0,0,0,0,0,0,0,0,0
eisenbergassociates.co.za,14,2,1,0,2,1,1,4,0,2,1,0,0,0,0,0
expattax.co.za,14,0,5,1,5,1,1,1,0,0,0,0,0,0,0,0
financialemigration.co.za,14,0,1,3,2,0,0,1,4,2,1,0,0,0,0,0
investec.com,14,2,2,0,0,5,2,1,1,0,1,0,0,0,0,0
nwivisa.com,14,0,3,3,2,3,0,1,0,0,2,0,0,0,0,0
org](http,14,2,6,4,1,0,0,1,0,0,0,0,0,0,0,0
org](https,14,1,2,4,1,3,1,0,2,0,0,0,0,0,0,0
protax.co.za,14,0,0,2,6,3,0,3,0,0,0,0,0,0,0,0
tlscontact.com,14,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0
wealth](https,14,0,1,0,2,2,2,2,1,2,2,0,0,0,0,0
workpermitsouthafrica.co.za,14,0,0,3,1,0,1,1,3,4,1,0,0,0,0,0
ajmtax.co.za,13,2,3,5,0,0,0,0,1,0,2,0,0,0,0,0
remata.co.za,13,0,4,3,0,0,2,1,2,0,1,0,0,0,0,0
visadirect.co.za,13,0,5,1,3,1,1,0,0,1,1,0,0,0,0,0
werksmans.com,13,1,0,3,1,5,2,0,1,0,0,0,0,0,0,0
chase](https,12,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0
globalvisas.com,12,0,0,0,4,5,2,1,0,0,0,0,0,0,0,0
visahub.co.za,12,0,1,3,2,2,2,1,0,0,1,0,0,0,0,0
absa.co.za,11,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0
advisors](https,11,0,0,1,5,1,1,1,1,1,0,0,0,0,0,0
hofmeyr](https,11,0,1,1,0,1,3,2,2,1,0,0,0,0,0,0
ibn-immigration.com,11,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0
nortonrosefulbright.com,11,0,0,1,2,4,1,0,0,0,3,0,0,0,0,0
nwimmigration.com,11,0,2,1,6,2,0,0,0,0,0,0,0,0,0,0
southafricanvisa.com,11,0,1,0,1,0,2,1,2,1,3,0,0,0,0,0
taxleaders.co.za,11,0,0,0,0,2,3,3,0,1,1,1,0,0,0,0
ajsgroup.co.za,10,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0
bic-immigration.com,10,3,0,2,1,3,0,0,1,0,0,0,0,0,0,0
cryptotax.co.za,10,2,5,1,1,0,0,0,0,0,1,0,0,0,0,0
expatriatetax.co.za,10,0,0,0,5,1,2,0,1,0,1,0,0,0,0,0
express](https,10,3,0,2,2,2,0,0,1,0,0,0,0,0,0,0
immigration.co.za,10,3,3,0,0,2,0,0,0,1,1,0,0,0,0,0
nwisouthafrica.com,10,0,1,1,6,1,0,0,0,1,0,0,0,0,0,0
pwc.com,10,4,1,1,2,1,0,1,0,0,0,0,0,0,0,0
service)](https,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
